index,title,description,brand,price,rating,model
0,Feit Electric 60-Watt Equivalent B10 E26 Base Dim White Filament Clear Glass Chandelier LED Light Bulb Soft White 2700K (3-Pack) ETC60927CAWFILHDRP/3,"Upgrade your lighting to Feit Electric's elegant Exposed White Filament Torpedo B10 LED Bulbs for a fresh take on decorative bulbs. These first-of-their-kind white filament bulbs take a traditional torpedo tip bulb encased in clear glass and add lower-profile white filaments. Unlike yellow filaments, these blend into your current decor, for a timeless look that complements any room. Their dimmable 2700K Soft White glow is ideal for creating a relaxing and comfortable atmosphere with no harsh glare. Use these bulbs in any fixture with a Medium E26 base socket such as chandeliers, wall sconces, coach lanterns, and more. ETC60927CAWFILHDRP/3 bulbs emit 500 lumens of light while using just 5.5 watts, up to 90.8% less energy than standard 60-watt incandescent bulbs. A 90+ CRI infuses vibrance into your space, bringing out truer colors and more natural skin tones. Get up to 15,000 hours of life with an estimated energy cost of only $0.66 per year. Create a stylish feel that instantly enhances any home or commercial space. | Highlights: Soft white candle bulb provides a calming, warm glow light • Energy-efficient LED bulb uses 5.5W to replace standard 60W bulb • Dimmable LED ideal for sconces, chandeliers or damp rated fixture",Feit Electric,13.48,4.5,ETC60927CAWFILHDRP/3
1,GE 20 Amp Double Pole Ground Fault Breaker with Self-Test THQL2120GFTP,"The GE 20 Amp Double Pole Ground Fault Circuit Breaker with Self-Test has a tin plated copper stab to create a reliable, permanent and corrosion resistant connection. The Self-Test functionality is a UL requirement on all GFCI devices commencing in June 2015. This variant of the GFCI ensures its ground circuitry is functioning properly by automatically running diagnostic testing on a periodic basis. Should a problem be detected, the circuit breaker will trip and will need to be replaced. | Highlights: Provides GFCI ground fault protection • Compatible with all ABB and GE residential panels • Protection Plans",GE,112.5,4.3,THQL2120GFTP
2,Kwikset HALO Satin Nickel Keypad WiFi Electronic Single-Cylinder Smart Lock Deadbolt featuring SmartKey Security 938WIFIKYPD15SM,"HALO Wi-Fi Smart Lock is a keyless entry electronic deadbolt featuring SmartKey Security that allows you to control the lock from anywhere there's an internet connection--no smart hub or bridge required! Using the Kwikset App, you can lock/unlock the deadbolt, program up to 250 user access codes, and receive notifications of your lock's use. This single cylinder deadbolt can be locked or unlocked by using the keypad or key from the outside as well as the turn button from the inside. The crisp, clean appearance of the Satin Nickel finish adds to the overall look of the product and brings a modern feel. Complete your entryway refresh with a matching Kwikset door lever or handleset. | Highlights: Control anywhere with app or with Alexa and Google Home • Control through home integrated Wifi; No smart home hub required • Patented SmartKey technology allows you to rekey lock in seconds",Kwikset,169.39,4.0,938WIFIKYPD15SM
3,LuxHomez 24 in. W x 24 in. H Black Vanity Round Wall Mirror Aluminum Alloy Frame Bathroom Mirror LLOM-60-BK,"Do you feel like the space above fireplace or consoles looks monotonous. A round wall mirror is the perfect additions to the space like this cause wall mirror is the key to making a space feel complete, personal, and inspiring. The HD reflection with classic round brushed metal frame makes the mirror not only decorative, but also a work of art. | Highlights: The wall mirror is made of SQ grade float HD glass • The metal frame is age-tested and has a longer service life",LuxHomez,42.0,4.7,LLOM-60-BK
4,"Rheem Performance 30 Gal. Short 30,000 BTU Natural Gas Water Heater with 6-Year Warranty XG30S06EC30U1","The Rheem Performance 30 gal. Natural Gas Short Water Heater comes with a 30,000 BTU/hour environmentally friendly low NOx burner that provides ample hot water for households with 1-people. to 2-people. A piezo ignition system enables safe and easy startup. A premium grade anode rod provides long-lasting tank protection. Factory installed temperature and pressure relief valve and 3/4 in. water connections are included with the water heater for easy installation. | Highlights: Perfect for replacement: Features a self-powered gas valve • 30-Gallon tank provides hot water for households with 1-2 people • Protection Plans",Rheem,589.0,4.4,XG30S06EC30U1
5,"HALO HLBSL 6 in. Can Less Integrated LED, 900 Lumens, 5CCT, White (4-Pack) HLBSL609FS5-4PK","HALO 6 in. can less LED light, boasting selectable 5 CCT options for customizable ambiance. Impressive 900 Lumens output, this energy efficient fixture delivers both style and functionality. At just 12.50-Watt, it's brilliant choice for modern lighting solutions. | Highlights: Canless LED lights ultra-slim design goes where can lights cant • Recessed lighting suitable for use in both wetdry environments • Protection Plans",HALO,61.97,4.7,HLBSL609FS5-4PK
6,Cerrowire 500 ft. 18/10 Black Solid Copper Sprinkler Wire 240-1010J,"Cerro's sprinkler system wire is sunlight-resistant and suitable for direct burial applications up to 30-Volt, including field and central controls for underground sprinkler systems. Soft bare-copper conductors are twisted without filler to a LHL, then PVC insulated and jacketed with a parallel ripcord, this wire is ready to perform. This wire is UL and cUL listed. | Highlights: Use with underground sprinkler systems • Suitable for direct burial • Sunlight and water resistant",Cerrowire,371.8,4.2,240-1010J
7,Empire 48 in. UltraView LED Magnetic Box Level EM95.48,"Empire is committed to delivering innovative solutions designed to meet the needs of the modern jobsite. The em95 UltraView LED level combines the professional features of the 75 True Blue box level with the patented, UltraView technology to provide superior vial visibility in dark, low and bright light applications. The patented, UltraView system uses dual LEDS, optical brightener and e-Band vials to provide high definition viewing in all conditions. Its IP54 rating meets the durability demands of the jobsite by protecting it from dust and water. | Highlights: Powerful rare earth magnets provide superior holding strength • Protection Plans",Empire,77.97,4.9,EM95.48
8,Cerrowire 500 ft. 18/7 Black Solid Copper Sprinkler Wire 240-1007J,"Cerro's sprinkler system wire is sunlight-resistant and suitable for direct burial applications up to 30-Volt, including field and central controls for underground sprinkler systems. Soft bare-copper conductors are twisted without filler to a LHL, then PVC insulated and jacketed with a parallel ripcord, this wire is ready to perform. This wire is UL and cUL listed. | Highlights: Use with underground sprinkler systems • Suitable for direct burial • Sunlight and water resistant",Cerrowire,219.0,4.6,240-1007J
9,Metalux 13 in. Round 400-Watt Equivalent Integrated LED White High Bay Light HBRC2L3,"Enjoy the flexibility provided by Metalux's CCT and Lumen select Round Highbay. The Metalux HBRC2L3 is a 13 in. lensed high bay light that replaces up to 400-Watt metal halide at a mounting height as high as 25 ft. The HBRC2L3 color can switch between bright white and cool white CCT to increase visual acuity and productivity. in addition, the HBRC2L3 has three (3) power levels that increases brightness from 12,000 Lumens to 18,000 Lumens. Available modular sensor accessory for easy plug and play connectivity through center port. Additional high bay options such as reflectors, wireguards and surface brackets can be purchases separately through Cooper Lighting Solutions. | Highlights: 3 selectable brightness and 2 CCT color levels • Replaces up to 400W at mounting height as high as 25 feet • Protection Plans",Metalux,153.97,4.9,HBRC2L3
